Turn, Time 
1,2253617800
2,12913111800
3,8637344000
4,15264666400
5,8896647800
6,2543433800
7,6530439600
8,1028656400
9,6655818200
10,74038000
11,1499932300
12,621195000
13,1932396200
14,402147800
15,1112286000
16,249794200
17,90530600
18,70692400
19,23810400
20,23197400
21,15988900
22,14533000
23,5524500
24,6289400
25,6468300
26,6467100
27,1041200
28,1470600
29,1038600
30,994200
31,934100
32,974000
33,772300
34,791800
35,669000
